ID,?��,distance,angle,x,y
6,-3,0.12,142.6476407,120.2111593,23.61428637
6,-3,0.121,140.136488,120.2117767,23.61349986
6,-3,0.122,136.7943548,120.2124356,23.61274794
6,-3,0.123,136.7607932,120.2131183,23.61201723
6,-3,0.124,135.7765185,120.2138107,23.61129583
6,-3,0.125,137.8771526,120.2144872,23.61055936
6,-3,0.126,141.8801332,120.2151357,23.6097985
6,-3,0.127,143.8994796,120.2157346,23.60899788
6,-3,0.128,141.9775571,120.2163319,23.60819625
6,-3,0.129,136.8534238,120.2169839,23.60743863
6,-3,0.13,130.1245496,120.2177022,23.60674372
6,-3,0.131,123.6988959,120.2184977,23.60613892
6,-3,0.132,115.4413408,120.2193536,23.60562337
6,-3,0.133,112.12985,120.2202687,23.60522104
6,-3,0.134,104.7738188,120.221226,23.60493384
6,-3,0.135,97.4697481,120.2222116,23.60476876
6,-3,0.136,90.19902028,120.2232103,23.60473125
6,-3,0.137,82.88108285,120.2242057,23.60482107
9,-3,0,65.38543935,120.2253205,23.65602821
9,-3,0.001,55.66219333,120.2261627,23.65656496
9,-3,0.002,46.63286834,120.2269448,23.65718632
9,-3,0.003,42.7756194,120.2276558,23.65788878
9,-3,0.004,39.02405803,120.2283042,23.6586496
9,-3,0.005,26.22110559,120.2288181,23.65950663
9,-3,0.006,11.29519845,120.2291466,23.66044551
9,-3,0.007,6.730464623,120.2293208,23.66142897
9,-3,0.008,351.7701032,120.2292899,23.66242665
9,-3,0.009,338.0434814,120.2290512,23.66339386
9,-3,0.01,327.9095776,120.2286131,23.66429076
9,-3,0.011,304.2416307,120.2280276,23.6650969
9,-3,0.012,317.7099633,120.2272505,23.66572016
9,-3,0.013,308.2275134,120.2265387,23.66642137
9,-3,0.014,304.5244393,120.2257454,23.66702909
9,-3,0.015,297.2964297,120.2248894,23.66754211
9,-3,0.016,294.0965777,120.2239902,23.6679787
9,-3,0.017,283.0983942,120.2230431,23.66829202
9,-3,0.018,272.3176168,120.2220536,23.66841984
9,-3,0.019,252.4908974,120.2210718,23.66827528
9,-3,0.02,210.161661,120.2202552,23.66772403
9,-3,0.021,181.270855,120.219896,23.66680439
9,-3,0.022,166.5060741,120.2199695,23.66581115
9,-3,0.023,163.1996124,120.2202415,23.6648493
9,-3,0.024,157.532506,120.2205801,23.66390945
9,-3,0.025,155.1774068,120.2209523,23.66298145
9,-3,0.026,169.2095347,120.2212254,23.6620236
9,-3,0.027,160.5316918,120.2215181,23.66106864
9,-3,0.028,164.1963807,120.2218127,23.66011329
9,-3,0.029,165.667231,120.2221116,23.65916037
9,-3,0.03,168.3223698,120.2223442,23.65818791
9,-3,0.031,169.1333021,120.2225511,23.65720968
9,-3,0.032,149.6372327,120.2230401,23.65636965
9,-3,0.033,106.1533775,120.2237219,23.6557133
9,-3,0.034,81.90712151,120.224706,23.65577227
5,-3,0,297.5605594,120.3333318,23.58620335
5,-3,0.001,298.8186054,120.3323952,23.58638137
5,-3,0.002,299.97405,120.3315243,23.58687268
5,-3,0.003,300.9003188,120.330664,23.58738254
5,-3,0.004,302.3534675,120.3298131,23.58790774
5,-3,0.005,301.4678071,120.328971,23.58844706
5,-3,0.006,302.577335,120.3281222,23.58897553
5,-3,0.007,302.0856798,120.3272774,23.58951064
5,-3,0.008,302.0910259,120.3264313,23.59004354
5,-3,0.009,301.4615774,120.3255937,23.59058956
5,-3,0.01,301.0421184,120.3247379,23.59110679
5,-3,0.011,300.0505956,120.3238743,23.59161096
5,-3,0.012,299.2453465,120.3230043,23.59210402
5,-3,0.013,298.8798,120.3221301,23.59258961
5,-3,0.014,299.0370501,120.3212509,23.59306597
5,-3,0.015,299.7927308,120.3203799,23.59355727
5,-3,0.016,301.5253611,120.3195215,23.59407023
5,-3,0.017,304.8209566,120.3186838,23.5946159
5,-3,0.018,306.6616872,120.3178747,23.5952033
5,-3,0.019,313.9633357,120.3171193,23.59585744
5,-3,0.02,311.9439438,120.316381,23.59653166
5,-3,0.021,316.8353048,120.3156766,23.59724114
5,-3,0.022,316.6543193,120.3149936,23.59797132
5,-3,0.023,318.550268,120.314321,23.59871109
5,-3,0.024,318.4739371,120.3136552,23.59945708
5,-3,0.025,316.8948132,120.3129838,23.60019799
5,-3,0.026,318.0362411,120.3123113,23.60093781
5,-3,0.027,317.8528145,120.3116412,23.60168008
5,-3,0.028,316.6488903,120.3109678,23.60241912
5,-3,0.029,318.2634424,120.3103039,23.60316676
5,-3,0.03,318.5939488,120.3096419,23.60391618
5,-3,0.031,317.0970226,120.3089781,23.60466387
5,-3,0.032,318.3647767,120.3083288,23.60542399
5,-3,0.033,317.198458,120.3076605,23.60616764
5,-3,0.034,300.1863032,120.306919,23.60683323
5,-3,0.035,264.7077506,120.3059977,23.60718898
5,-3,0.036,252.0536926,120.3050182,23.60700694
5,-3,0.037,247.3399655,120.3040707,23.60668868
5,-3,0.038,251.8874363,120.3031261,23.60636091
5,-3,0.039,253.9612756,120.3021692,23.60607088
5,-3,0.04,258.0662782,120.3011965,23.60584027
5,-3,0.041,260.8764801,120.3002128,23.60566139
5,-3,0.042,264.4756858,120.2992196,23.60554623
5,-3,0.043,267.756452,120.2982213,23.6054896
5,-3,0.044,271.0077573,120.2972215,23.60549953
5,-3,0.045,275.8415747,120.2962233,23.60555844
