ID,下陷??Shape_Leng,angle,x,y,
2,-4,0.048,27.30799465,120.1845262,23.40771483
2,-4,0.049,30.22530057,120.1850049,23.40859254
2,-4,0.05,34.4558473,120.1855351,23.40943999
2,-4,0.051,40.23516657,120.1861397,23.41023573
2,-4,0.052,48.46995133,120.1868382,23.41095012
2,-4,0.053,53.44091735,120.1876193,23.41157324
2,-4,0.054,62.09217714,120.1884746,23.41209003
2,-4,0.055,68.74739722,120.1893836,23.41250526
2,-4,0.056,75.73713957,120.1903329,23.41281667
2,-4,0.057,80.3108254,120.1913044,23.41305101
2,-4,0.058,83.88525396,120.1922941,23.41319258
2,-4,0.059,87.54721399,120.1932903,23.41327662
2,-4,0.06,90.50826059,120.19429,23.41327924
2,-4,0.061,92.94810781,120.1952894,23.41324707
2,-4,0.062,95.03122991,120.1962876,23.41319299
2,-4,0.063,96.57787631,120.1972829,23.41309699
2,-4,0.064,97.76226037,120.1982747,23.41296914
2,-4,0.065,98.8489465,120.1992639,23.41282251
2,-4,0.066,99.72313381,120.2002505,23.41265949
2,-4,0.067,100.5620358,120.2012267,23.41244543
2,-4,0.068,101.0307101,120.202209,23.41225818
2,-4,0.069,100.8153245,120.2031901,23.41206511
2,-4,0.07,102.3587188,120.2041683,23.41185749
2,-4,0.071,102.9420499,120.2051436,23.41163667
2,-4,0.072,103.6689587,120.2061164,23.41140513
2,-4,0.073,104.329118,120.2070868,23.41116355
2,-4,0.074,105.1237064,120.2080537,23.41090836
2,-4,0.075,105.9557796,120.2090169,23.41063961
2,-4,0.076,106.9555276,120.2099757,23.41035553
2,-4,0.077,108.1806617,120.2109298,23.41005621
2,-4,0.078,109.5954348,120.211876,23.40973287
2,-4,0.079,111.2509036,120.2128101,23.40937617
2,-4,0.08,113.5138214,120.2137365,23.40899977
2,-4,0.081,115.9147035,120.2146533,23.40860065
2,-4,0.082,117.0096112,120.2155489,23.40815583
2,-4,0.083,119.6505864,120.2164248,23.40767351
2,-4,0.084,122.9041526,120.2172766,23.40714997
2,-4,0.085,126.1895229,120.218104,23.40658859
2,-4,0.086,128.0319627,120.2189012,23.40598514
2,-4,0.087,133.6981497,120.2196558,23.40532955
2,-4,0.088,136.0140742,120.220364,23.40462381
2,-4,0.089,142.0890301,120.2210184,23.40386815
2,-4,0.09,147.1858614,120.221605,23.40305879
2,-4,0.091,152.8741218,120.222118,23.40220093
2,-4,0.092,158.2841396,120.2225457,23.40129753
2,-4,0.093,163.6855978,120.2228821,23.40035634
2,-4,0.094,168.8691428,120.2231249,23.3993868
2,-4,0.095,173.7067863,120.2232753,23.39839866
2,-4,0.096,178.1094524,120.2233385,23.39740104
2,-4,0.097,183.7956407,120.2233229,23.3964014
2,-4,0.098,186.948357,120.2232376,23.39540522
2,-4,0.099,189.5910795,120.2230965,23.39441537
2,-4,0.1,193.0190832,120.2228564,23.39344604
2,-4,0.101,194.6079304,120.2226198,23.39247448
2,-4,0.102,196.5028138,120.2223471,23.39151246
2,-4,0.103,197.9550889,120.2220461,23.39055888
2,-4,0.104,200.5259077,120.2216814,23.38962815
2,-4,0.105,202.1947016,120.2213203,23.38869565
2,-4,0.106,203.8952238,120.2209307,23.38777474
